page,chunk_id,label,bootstrap_score,text_preview,full_text
1,1_1,Project Management,2,"*OFFICIAL USE ONLY  
 
  
ICS202 3-IND  
August  2024 
 
 
 
 
 
 
 
 
 
Sovereign -backed Financing  
 
Project Document  
P000 795 Republic of India  
Kochi Metro Rail Project - Phase II","*OFFICIAL USE ONLY  
 
  
ICS202 3-IND  
August  2024 
 
 
 
 
 
 
 
 
 
Sovereign -backed Financing  
 
Project Document  
P000 795 Republic of India  
Kochi Metro Rail Project - Phase II"
2,2_1,Operations,6,"ii 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Currency Equivalents  
(As of January 3 0, 2024 ) 
 
Currency Unit – Indian Rupee (INR)  
INR1.00 = USD0.012  
USD1.00 = INR8 3.11 
 
Borrower’s Fiscal year  
April 1 – March 31  
 
 
Abbreviations  
AFC Automatic Fare Collection  
AFD Agence Franç aise de Dé veloppement  
AIIB Asian Infrastructure Investment Bank  
ATM  Automated...","ii 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Currency Equivalents  
(As of January 3 0, 2024 ) 
 
Currency Unit – Indian Rupee (INR)  
INR1.00 = USD0.012  
USD1.00 = INR8 3.11 
 
Borrower’s Fiscal year  
April 1 – March 31  
 
 
Abbreviations  
AFC Automatic Fare Collection  
AFD Agence Franç aise de Dé veloppement  
AIIB Asian Infrastructure Investment Bank  
ATM  Automated Teller Machine  
ATO Automatic Train Operation  
ATP Automatic Train Protection  
ATS Automatic Train Supervision  
BB Building Block  
CAAA  Controller of Aid Accounts and Audit  
CAG  Comptroller  and Auditor General  
CAPEX  Capital Expenditures  
CATC  Continuous Automatic Train Control  
CBI Computer based Interlocking  
CBTC  Communications -based Train Control  
CCTV  Close Circuit Television   
CESMP  Contractor’s Environmental and Social Management Plan  
CO2 Carbon Dioxide  
CPI Consumer Price Index  
CRA  Climate Risk Assessment  
CW Civil Works  
DCF Discounted Cash Flow  
DDC  De"
2,2_2,Project Management,4,"ion   
CESMP  Contractor’s Environmental and Social Management Plan  
CO2 Carbon Dioxide  
CPI Consumer Price Index  
CRA  Climate Risk Assessment  
CW Civil Works  
DCF Discounted Cash Flow  
DDC  Detailed Design Consultant  
DED  Detailed Engineering Design  
DP Director (Projects)  
DPR  Detailed Project Report  
E&M  Electrical and Mechanical  
E&S Environmental And Social  
ECap  Economic Cap...","ion   
CESMP  Contractor’s Environmental and Social Management Plan  
CO2 Carbon Dioxide  
CPI Consumer Price Index  
CRA  Climate Risk Assessment  
CW Civil Works  
DCF Discounted Cash Flow  
DDC  Detailed Design Consultant  
DED  Detailed Engineering Design  
DP Director (Projects)  
DPR  Detailed Project Report  
E&M  Electrical and Mechanical  
E&S Environmental And Social  
ECap  Economic Capital  
EIA Environmental Impact Assessment  
EIRR  Economic Internal Rate of Return  
EMP  Environmental Management Plan  
ENPV  Economic Net Present Value  
ERP Entity Relationship Diagram  
ESEL  Environmental and Social Exclusion List  
ESMP  Environmental and Social Management  Plan 
ESP Environmental and Social Policy"
3,3_1,Information Technology,7,"iii 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
ESS Environmental and Social Standards  
EWS  Economically Weaker Sections  
FAD Finance and Accounts Department  
FDI Foreign Direct Investment  
FIRR  Financial Internal Rate of Return  
FM Financial Management  
FNPV  Financial Net Present Value  
FRP Fiber Reinforced Plastic  
FS Feasibility Study  
GBV  Gender -based Violenc...","iii 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
ESS Environmental and Social Standards  
EWS  Economically Weaker Sections  
FAD Finance and Accounts Department  
FDI Foreign Direct Investment  
FIRR  Financial Internal Rate of Return  
FM Financial Management  
FNPV  Financial Net Present Value  
FRP Fiber Reinforced Plastic  
FS Feasibility Study  
GBV  Gender -based Violence  
GC General Consultant  
GDI Gender Development Index  
GDP  Gross Domestic Product  
GESI  Gender Equality and Social Inclusion  
GHG  Greenhouse Gas  
GII Gender Inequality Index  
GOA  Grade of Automation  
GOI Government of India  
GOK  Government of Kerala  
GPN  General Procurement Notice  
GPS  Global Positioning System  
GRM  Grievance Redress Mechanism  
HH Head Hardened  
ICAI Institute of Chartered Accountants of India  
IDC Interest During Construction  
IFI International Financial Institution  
IGBC  Indian Green Building Council  
IMF International Monetary Fund  
IND AS  Indi"
3,3_2,Information Technology,13,"te of Chartered Accountants of India  
IDC Interest During Construction  
IFI International Financial Institution  
IGBC  Indian Green Building Council  
IMF International Monetary Fund  
IND AS  Indian Accounting Standards  
INR Indian Rupee  
IOCT  international open competitive tendering  
IP Indigenous People  and Internet Protocol  
IPT Intermediate Public Transport  
IR Intermediate Results ...","te of Chartered Accountants of India  
IDC Interest During Construction  
IFI International Financial Institution  
IGBC  Indian Green Building Council  
IMF International Monetary Fund  
IND AS  Indian Accounting Standards  
INR Indian Rupee  
IOCT  international open competitive tendering  
IP Indigenous People  and Internet Protocol  
IPT Intermediate Public Transport  
IR Intermediate Results  
IT Information Technology  
JICA  Japan International Cooperation Agency  
JLN Jawaharlal  Nehru  
KfW Kreditanstalt fü r Wiederaufbau  
KMRL  Kochi Metro Rail Limited  
K-RAIL  Kerala Rail Development Corporation Limited  
KSRTC  Kerala State Road Transport Corporation  
KYC Know Your Counterparty  
LARR  Land Acquisition, Rehabilitation and Resettlement  
LED Light Emitting Diode  
LEG Legal Department  
LGBTQI+  Lesbian, Gay, Bisexual, Transgender, Queer, and Intersexual  
M&E  Monitoring and Evaluation  
MDB  Multilateral Development Bank  
MIS Management Information System"
4,4_1,Project Management,9,"iv 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
MOF  Ministry of Finance   
MOHUA  Ministry of Housing and Urban Affairs  
MRT  Metro Rail Transit  
NAV Noise and Vibration  
NCCAP  National Climate Change Action Plan  
NCT National Competitive Tendering  
NDC  Nationally Determined Contributions  
NMT  Non-motorized transport  
O&M  Operation and Maintenance  
ODA  Official De...","iv 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
MOF  Ministry of Finance   
MOHUA  Ministry of Housing and Urban Affairs  
MRT  Metro Rail Transit  
NAV Noise and Vibration  
NCCAP  National Climate Change Action Plan  
NCT National Competitive Tendering  
NDC  Nationally Determined Contributions  
NMT  Non-motorized transport  
O&M  Operation and Maintenance  
ODA  Official Development Assistance  
OFC  Optical Fiber Communication  
OHS  Occupational Health and Safety  
OPEX  Operational Expenditures  
PA Paris Agreement  
PAA Paris Agreement Alignment  
PAP Project Affected People  
PDS Project Delivery Strategy  
PFS Project Financial Statements  
PHPDT  Peak Hour Peak Direction Trips  
PIM Project Implementation Manual  
PIR Procurement Instructions for Recipients   
PIU Project Implementing Unit  
PP Procurement Plan  
PPM  Project -affected People’s Mechanism  
PPP Public Private Partnership  
PPQ  Project Prioritization and Quality  
PT Project Team  
PWD  Pe"
4,4_2,Information Technology,16," 
PIU Project Implementing Unit  
PP Procurement Plan  
PPM  Project -affected People’s Mechanism  
PPP Public Private Partnership  
PPQ  Project Prioritization and Quality  
PT Project Team  
PWD  Persons with Disabilities  and Public Works Department  
R&R  Rehabilitation and Resettlement  
RBI Reserve Bank of India  
RCP  Representative Concentration Pathway  
RESCO  Renewable Energy Service Co..."," 
PIU Project Implementing Unit  
PP Procurement Plan  
PPM  Project -affected People’s Mechanism  
PPP Public Private Partnership  
PPQ  Project Prioritization and Quality  
PT Project Team  
PWD  Persons with Disabilities  and Public Works Department  
R&R  Rehabilitation and Resettlement  
RBI Reserve Bank of India  
RCP  Representative Concentration Pathway  
RESCO  Renewable Energy Service Company  
RMF  Results Monitoring Framework  
RORO  Roll-on/roll -off  
ROW  Right -of-Way 
RP Resettlement Plan  
RS&T  Railway Systems and Trains  
SAP System Applications and Products in Data Processing  
SAs Standards on Auditing  
SCADA  Supervisory Control and Data Acquisition  
SDDR  Social Due Diligence Report  
SEAH  Sexual Exploitation, Abuse and Harassment  
SEZ Special Economic Zone  
SIA Social Impact Assessment  
SPB Strategy, Policy, and Budget  
TETRA  Terrestrial Trunked Radio  
UN United Nations  
UNDP  United Nations Development Program  
UNFCCC  United Nations Framework Conve"
4,4_3,Information Technology,3,"A Social Impact Assessment  
SPB Strategy, Policy, and Budget  
TETRA  Terrestrial Trunked Radio  
UN United Nations  
UNDP  United Nations Development Program  
UNFCCC  United Nations Framework Convention on Climate Change","A Social Impact Assessment  
SPB Strategy, Policy, and Budget  
TETRA  Terrestrial Trunked Radio  
UN United Nations  
UNDP  United Nations Development Program  
UNFCCC  United Nations Framework Convention on Climate Change"
5,5_1,Finance,1,"v 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
USD  United States Dollar  
VOC  Vehicle Operating Cost  
WEO  World Economic Outlook","v 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
USD  United States Dollar  
VOC  Vehicle Operating Cost  
WEO  World Economic Outlook"
6,6_1,Project Management,3,"1 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
CONTENTS  
1. SUMMARY SHEET  ................................ ................................ ................................  2 
2. CONTEXT  ................................ ................................ ................................ ..............  4 
3. PROJECT DESCRIPTION  ................................ .................","1 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
CONTENTS  
1. SUMMARY SHEET  ................................ ................................ ................................  2 
2. CONTEXT  ................................ ................................ ................................ ..............  4 
3. PROJECT DESCRIPTION  ................................ ................................ .....................  7 
A. Project Overview  ................................ ................................ .............................  7 
B. Rationale for AIIB Involvement  ................................ ................................ ........  9 
C. Lessons Learnt and Reflected in the Project Design  ................................ ..... 11 
D. Components  ................................ ................................ ................................ .. 12 
E. Cost and Financing Plan  ................................ ................................ ......."
